,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_pressure_hier[Hubert Hurkacz],-0.532,0.105,-0.719,-0.322,0.001,0.001,15277.0,6829.0,1.0
beta_pressure_hier[Ilya Ivashka],-0.539,0.109,-0.74,-0.326,0.001,0.002,13230.0,6440.0,1.0
beta_pressure_hier[Jannik Sinner],-0.515,0.107,-0.701,-0.297,0.001,0.002,14841.0,6694.0,1.0
beta_pressure_hier[Jason Kubler],-0.537,0.108,-0.742,-0.335,0.001,0.001,13729.0,6274.0,1.0
beta_pressure_hier[Jiri Lehecka],-0.529,0.107,-0.733,-0.324,0.001,0.002,13305.0,6276.0,1.0
beta_pressure_hier[Jiri Vesely],-0.528,0.109,-0.731,-0.316,0.001,0.002,13863.0,6373.0,1.0
beta_pressure_hier[Jo Wilfried Tsonga],-0.533,0.106,-0.731,-0.328,0.001,0.002,13428.0,6796.0,1.0
beta_pressure_hier[Joao Sousa],-0.537,0.111,-0.762,-0.334,0.001,0.002,13613.0,6000.0,1.0
beta_pressure_hier[John Isner],-0.53,0.109,-0.744,-0.321,0.001,0.001,14616.0,6451.0,1.0
beta_pressure_hier[Juan Martin Del Potro],-0.524,0.105,-0.736,-0.336,0.001,0.002,13433.0,6567.0,1.0
beta_pressure_hier[Karen Khachanov],-0.548,0.109,-0.752,-0.337,0.001,0.002,12767.0,6368.0,1.0
beta_pressure_hier[Kei Nishikori],-0.517,0.108,-0.714,-0.303,0.001,0.002,12798.0,6224.0,1.0
beta_pressure_hier[Kevin Anderson],-0.537,0.104,-0.748,-0.352,0.001,0.002,13758.0,6148.0,1.0
beta_pressure_hier[Lorenzo Musetti],-0.526,0.107,-0.723,-0.325,0.001,0.002,14162.0,6734.0,1.0
beta_pressure_hier[Lorenzo Sonego],-0.532,0.109,-0.735,-0.322,0.001,0.002,13413.0,6938.0,1.0
beta_pressure_hier[Lucas Pouille],-0.532,0.107,-0.736,-0.33,0.001,0.001,14364.0,6979.0,1.0
beta_pressure_hier[Mackenzie Mcdonald],-0.529,0.105,-0.743,-0.34,0.001,0.002,13566.0,6847.0,1.0
beta_pressure_hier[Marin Cilic],-0.535,0.103,-0.736,-0.344,0.001,0.001,13630.0,6990.0,1.0
beta_pressure_hier[Marton Fucsovics],-0.52,0.109,-0.725,-0.316,0.001,0.002,12996.0,6702.0,1.0
beta_pressure_hier[Matteo Berrettini],-0.541,0.104,-0.737,-0.336,0.001,0.001,13691.0,6899.0,1.0
beta_pressure_hier[Mikhail Kukushkin],-0.536,0.11,-0.743,-0.322,0.001,0.002,14023.0,6613.0,1.0
beta_pressure_hier[Milos Raonic],-0.527,0.102,-0.719,-0.329,0.001,0.001,13458.0,6363.0,1.0
beta_pressure_hier[Nick Kyrgios],-0.532,0.103,-0.716,-0.332,0.001,0.001,13832.0,6750.0,1.0
beta_pressure_hier[Nicolas Mahut],-0.533,0.108,-0.742,-0.334,0.001,0.002,12572.0,6409.0,1.0
beta_pressure_hier[Novak Djokovic],-0.541,0.097,-0.733,-0.369,0.001,0.001,13955.0,7027.0,1.0
